frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
43,3.0,[1653.348648954108 10.388458555208103 3281.7926474847873 1467.0065208237024],[2102.86474609375 1155.8443603515625 2694.4287109375 1348.557373046875],0.7262685298919678,PIH-611,0.8278159638101388
43,1.0,[173.35725667343513 135.86988564867465 1745.6669672610965 1141.4389433773501],[418.39874267578125 901.2409057617188 799.27734375 1046.4779052734375],0.7034998536109924,WIACU-805,0.600603803427122
44,3.0,[1654.0179924153285 9.371248317323989 3282.7153869997805 1466.1996615938938],[2098.503173828125 1154.3873291015625 2703.2646484375 1349.508544921875],0.7251459956169128,PIH-611,0.9018598118106543
44,1.0,[172.9365138994142 136.20683807928617 1745.3479679235927 1142.5933485570092],[417.3285827636719 900.466064453125 797.9749145507812 1046.937255859375],0.7049777507781982,WIACU-805,0.5663384566718986
45,3.0,[1653.760270783357 9.547754716684835 3283.463560170039 1467.2943955581932],[2093.490966796875 1157.022705078125 2709.66943359375 1347.683349609375],0.7213191390037537,PIH-611,0.5162033789613881
45,1.0,[172.9022166909623 136.6595805436233 1745.1388175382904 1144.453157689788],[413.9825134277344 899.8604736328125 798.9935302734375 1048.4754638671875],0.704788088798523,IIACU-805,0.6131422592440675
46,3.0,[1653.1567832767757 8.960656836953149 3284.647208735406 1467.5645877842285],[2090.19580078125 1158.51904296875 2711.6689453125 1349.869384765625],0.7198657393455505,PIA-611,0.6493679828186834
47,3.0,[1655.8552802804486 9.024836085424113 3288.334184258414 1469.2524661163918],[2083.1435546875 1158.688232421875 2706.337158203125 1353.381591796875],0.7292654514312744,PIH-611,0.6396020355195479
48,3.0,[1658.0513749768884 9.440415024233744 3291.2363716320465 1470.5517768109833],[2088.544189453125 1157.33056640625 2711.748046875 1357.7398681640625],0.7315041422843933,PIH-611,0.7705927710386412
49,3.0,[1661.5222568086672 9.725881742086699 3295.6293004104027 1470.9366663102505],[2088.141845703125 1160.240966796875 2718.2783203125 1359.7940673828125],0.7279416918754578,PIH-611,0.6856500369204973
51,3.0,[1664.9653390820254 9.528978425205878 3306.7347999740655 1471.781282375887],[2093.9794921875 1153.8267822265625 2729.196044921875 1359.2718505859375],0.7465290427207947,PIH-611,0.7642707311678769
52,3.0,[1668.1542080156105 7.917454536797663 3312.8750827223093 1469.9970129545118],[2104.40869140625 1157.146484375 2737.040283203125 1354.6612548828125],0.7254621982574463,PIH-611,0.5606778421012698
53,3.0,[1670.4387702115364 7.678790519107679 3318.3928346985576 1470.0390725118825],[2129.367431640625 1160.5927734375 2734.412353515625 1351.61572265625],0.7162279486656189,PIH-611,0.5909648168957169
53,1.0,[175.62695632553493 134.29305822727878 1763.003031817565 1139.9756622032235],[426.2844543457031 894.4125366210938 811.9227905273438 1047.3746337890625],0.6820213198661804,EIACU-805,0.8213349259210933
